Date,Alpine,Ararat,Ballarat,Banyule,Bass Coast,Baw Baw,Bayside,Benalla,Boroondara,Brimbank,Buloke,Campaspe,Cardinia,Casey,Central Goldfields,Colac Otway,Corangamite,Darebin,East Gippsland,Frankston,Gannawarra,Glen Eira,Glenelg,Golden Plains,Greater Bendigo,Greater Dandenong,Greater Geelong,Greater Shepparton,Hepburn,Hindmarsh,Hobsons Bay,Horsham,Hume,Indigo,Kingston,Knox,Latrobe,Loddon,Macedon Ranges,Manningham,Mansfield,Maribyrnong,Maroondah,Melbourne,Melton,Mildura,Mitchell,Moira,Monash,Moonee Valley,Moorabool,Moreland,Mornington Peninsula,Mount Alexander,Moyne,Murrindindi,Nillumbik,Northern Grampians,Port Phillip,Pyrenees,Queenscliffe,South Gippsland,Southern Grampians,Stonnington,Strathbogie,Surf Coast,Swan Hill,Towong,Wangaratta,Warrnambool,Wellington,West Wimmera,Whitehorse,Whittlesea,Wodonga,Wyndham,Yarra,Yarra Ranges,Yarriambiack
17/08,1,6,59,412,10,14,181,3,240,1716,0,7,163,765,2,97,1,556,3,176,2,181,20,19,87,384,315,39,2,0,343,11,1421,1,233,137,46,4,55,154,9,497,95,821,948,6,73,11,226,694,25,891,146,10,2,5,124,3,206,2,1,12,3,236,2,16,5,0,2,11,13,3,177,1055,2,1845,404,221,1
18/08,1,7,59,415,11,14,183,3,243,1738,0,7,168,797,2,97,1,561,3,183,2,183,20,19,90,395,322,39,2,0,354,11,1439,1,238,138,45,4,55,157,9,502,95,820,963,6,73,11,230,695,24,893,149,10,2,5,124,3,211,2,1,12,3,235,2,16,5,0,2,13,13,3,178,1073,2,1860,405,223,1
19/08,1,7,59,421,11,14,184,3,244,1764,0,7,168,809,2,97,1,567,3,188,2,184,20,19,90,394,323,39,2,0,361,11,1456,1,248,139,45,4,57,159,9,506,95,828,977,6,73,11,240,698,26,904,152,10,2,5,126,3,215,2,1,12,3,235,2,17,5,0,2,14,14,3,179,1087,2,1887,410,224,1
20/08,1,7,60,422,11,14,184,3,245,1785,0,7,171,822,2,97,1,581,3,194,2,184,19,19,95,397,335,39,2,0,367,12,1469,1,257,141,46,4,58,163,9,514,96,848,995,6,74,12,251,699,29,912,155,10,2,8,126,3,218,2,1,12,3,237,2,17,5,0,2,14,15,1,182,1102,2,1915,413,232,1
21/08,1,7,60,424,11,14,185,3,246,1798,0,7,170,834,2,97,1,584,3,199,2,186,19,19,96,401,335,47,2,0,370,12,1486,2,261,144,46,4,56,163,9,519,97,848,1012,6,77,11,251,701,30,924,155,10,2,9,127,3,221,2,1,12,3,241,2,17,5,0,2,13,17,1,183,1109,2,1930,423,234,1
22/08,1,7,60,428,11,14,188,3,250,1812,0,7,172,844,2,98,1,587,4,200,2,189,19,19,96,415,340,47,2,0,380,12,1498,2,264,145,46,4,56,164,9,523,99,848,1018,6,79,11,254,704,31,929,155,10,2,9,129,3,223,2,1,12,3,246,2,17,5,0,2,13,17,1,183,1118,2,1958,427,233,1
23/08,1,7,60,429,11,14,194,3,251,1810,null,7,173,857,2,98,1,594,4,203,2,187,19,19,97,418,339,47,2,null,386,12,1503,1,263,147,46,4,56,164,9,525,100,855,1016,6,82,11,259,707,34,935,162,10,1,9,129,3,228,2,2,11,3,244,2,18,5,null,2,13,17,1,183,1123,2,1965,428,236,1
24/08,1,7,61,433,11,14,197,3,250,1821,0,7,176,868,2,97,2,599,6,208,2,186,19,18,97,418,342,49,2,0,388,12,1505,1,261,148,46,4,57,162,9,529,102,854,1025,6,83,11,259,706,33,939,163,10,1,9,129,3,230,2,2,11,3,244,2,18,5,0,2,13,17,1,183,1127,2,1970,427,237,1
25/08,1,7,61,433,11,14,197,3,251,1827,null,7,179,882,2,97,2,600,6,210,2,190,19,18,99,430,341,49,2,null,391,12,1517,1,261,149,46,4,57,163,9,532,102,849,1029,6,83,11,263,711,37,946,165,10,1,9,131,3,240,2,2,11,3,245,2,18,5,null,2,13,17,1,184,1137,2,1993,429,240,1
26/08,1,7,61,433,11,14,207,3,251,1836,0,7,181,885,2,98,2,601,6,215,2,193,19,18,100,434,341,49,2,null,398,12,1527,1,259,150,46,4,57,163,9,533,102,856,1047,6,83,11,266,720,37,959,169,10,1,9,131,3,244,3,2,11,3,248,2,18,5,0,2,13,17,1,182,1148,2,2009,437,242,1
